         866   -7.5619722    -0.993377            0            0        7.469 
         868   -7.5614181    -1.000846            0            0        7.469 
         870   -7.5608548    -1.008315            0            0        7.469 
         872   -7.5602807    -1.015784            0            0        7.469 
         874   -7.5596949    -1.023253            0            0        7.469 
         876   -7.5591003    -1.030722            0            0        7.469 
         878   -7.5584963    -1.038191            0            0        7.469 
         880   -7.5578901     -1.04566            0            0        7.469 
         882   -7.5588574    -1.053129            0            0        7.469 
         884    -7.558314    -1.060598            0            0        7.469 
         886   -7.5577576    -1.068067            0            0        7.469 
         888   -7.5571901    -1.075536            0            0        7.469 
         890    -7.556612    -1.083005            0            0        7.469 
         892   -7.5560212    -1.090474            0            0        7.469 
         894   -7.5554198    -1.097943            0            0        7.469 
         896   -7.5671255    -1.105412            0            0        7.469 
         898   -7.5669514    -1.112881            0            0        7.469 
         900   -7.5667632     -1.12035            0            0        7.469 
         902   -7.5669519    -1.112881            0            0        7.469 
         904    -7.567129    -1.105412            0            0        7.469 
         906   -7.5672958    -1.097943            0            0        7.469 
         908   -7.5674517    -1.090474            0            0        7.469 
         910   -7.5675928    -1.083005            0            0        7.469 
         912   -7.5677233    -1.075536            0            0        7.469 
         914   -7.5678433    -1.068067            0            0        7.469 
         916    -7.567948    -1.060598            0            0        7.469 
         918   -7.5680414    -1.053129            0            0        7.469 
         920   -7.5681269     -1.04566            0            0        7.469 
         922   -7.5681981    -1.038191            0            0        7.469 
         924   -7.5682551    -1.030722            0            0        7.469 
         926   -7.5683057    -1.023253            0            0        7.469 
         928   -7.5683467    -1.015784            0            0        7.469 
         930    -7.568371    -1.008315            0            0        7.469 
         932   -7.5683857    -1.000846            0            0        7.469 
         934   -7.5683901    -0.993377            0            0        7.469 
         936   -7.5683857    -0.985908            0            0        7.469 
         938   -7.5683669    -0.978439            0            0        7.469 
         940   -7.5683379     -0.97097            0            0        7.469 
         942   -7.5683007    -0.963501            0            0        7.469 
         944   -7.5682522    -0.956032            0            0        7.469 
         946   -7.5681992    -0.948563            0            0        7.469 
