         344   -7.6240629     0.956032            0            0        7.469 
         346   -7.6247887     0.948563            0            0        7.469 
         348   -7.6255065     0.941094            0            0        7.469 
         350   -7.6262278     0.933625            0            0        7.469 
         352   -7.6270143     0.926156            0            0        7.469 
         354   -7.6277127     0.918687            0            0        7.469 
         356   -7.6283976     0.911218            0            0        7.469 
         358   -7.6290727     0.903749            0            0        7.469 
         360   -7.6297373      0.89628            0            0        7.469 
         362   -7.6304179     0.888811            0            0        7.469 
         364   -7.6311486     0.881342            0            0        7.469 
         366   -7.6318208     0.873873            0            0        7.469 
         368   -7.6324652     0.866404            0            0        7.469 
         370   -7.6330986     0.858935            0            0        7.469 
         372   -7.6337224     0.851466            0            0        7.469 
         374   -7.6343357     0.843997            0            0        7.469 
         376     -7.63494     0.836528            0            0        7.469 
         378   -7.6355298     0.829059            0            0        7.469 
         380   -7.6361068      0.82159            0            0        7.469 
         382   -7.6366761     0.814121            0            0        7.469 
         384   -7.6372296     0.806652            0            0        7.469 
         386   -7.6377739     0.799183            0            0        7.469 
         388   -7.6383202     0.791714            0            0        7.469 
         390   -7.6388486     0.784245            0            0        7.469 
         392   -7.6393591     0.776776            0            0        7.469 
         394   -7.6398532     0.769307            0            0        7.469 
         396   -7.6403436     0.761838            0            0        7.469 
         398   -7.6408112     0.754369            0            0        7.469 
         400   -7.6412711       0.7469            0            0        7.469 
         402   -7.6417148     0.739431            0            0        7.469 
         404   -7.6421454     0.731962            0            0        7.469 
         406   -7.6425628     0.724493            0            0        7.469 
         408   -7.6429665     0.717024            0            0        7.469 
         410    -7.643356     0.709555            0            0        7.469 
         412   -7.6437356     0.702086            0            0        7.469 
         414   -7.6441002     0.694617            0            0        7.469 
         416   -7.6444454     0.687148            0            0        7.469 
         418   -7.6447833     0.679679            0            0        7.469 
         420    -7.645103      0.67221            0            0        7.469 
         422   -7.6454103     0.664741            0            0        7.469 
         424   -7.6457062     0.657272            0            0        7.469 
         426   -7.6459887     0.649803            0            0        7.469 
         428   -7.6462663     0.642334            0            0        7.469 
         430   -7.6465256     0.634865            0            0        7.469 
         432   -7.6467834     0.627396            0            0        7.469 
         434   -7.6474445     0.619927            0            0        7.469 
         436   -7.6477366     0.612458            0            0        7.469 
         438   -7.6480178     0.604989            0            0        7.469 
         440   -7.6482805      0.59752            0            0        7.469 
         442   -7.6485311     0.590051            0            0        7.469 
         444   -7.6487719     0.582582            0            0        7.469 
         446   -7.6489958     0.575113            0            0        7.469 
         448   -7.6492055     0.567644            0            0        7.469 
         450   -7.6494006     0.560175            0            0        7.469 
         452   -7.6495837     0.552706            0            0        7.469 
         454   -7.6497527     0.545237            0            0        7.469 
         456    -7.649911     0.537768            0            0        7.469 
         458   -7.6500474     0.530299            0            0        7.469 
