         378   -7.6565919     0.082159            0            0        7.469 
         380   -7.6565376      0.07469            0            0        7.469 
         382   -7.6564692     0.067221            0            0        7.469 
         384   -7.6563911     0.059752            0            0        7.469 
         386   -7.6562999     0.052283            0            0        7.469 
         388   -7.6561941     0.044814            0            0        7.469 
         390   -7.6560829     0.037345            0            0        7.469 
         392   -7.6559721     0.029876            0            0        7.469 
         394   -7.6558468     0.022407            0            0        7.469 
         396   -7.6557101     0.014938            0            0        7.469 
         398   -7.6555606     0.007469            0            0        7.469 
         400   -7.6554047 -8.8817842e-16            0            0        7.469 
         400   -7.6554048 -8.8817842e-16            0            0        7.469 
         402   -7.6552756    -0.007469            0            0        7.469 
         404   -7.6551079    -0.014938            0            0        7.469 
         406   -7.6549315    -0.022407            0            0        7.469 
         408   -7.6548423    -0.029876            0            0        7.469 
         410    -7.654695    -0.037345            0            0        7.469 
         412   -7.6545569    -0.044814            0            0        7.469 
         414   -7.6544005    -0.052283            0            0        7.469 
         416   -7.6544242    -0.059752            0            0        7.469 
         418   -7.6542677    -0.067221            0            0        7.469 
         420   -7.6540965     -0.07469            0            0        7.469 
         422   -7.6539146    -0.082159            0            0        7.469 
         424   -7.6537166    -0.089628            0            0        7.469 
         426   -7.6535192    -0.097097            0            0        7.469 
         428    -7.653305    -0.104566            0            0        7.469 
         430   -7.6537234    -0.112035            0            0        7.469 
         432   -7.6535239    -0.119504            0            0        7.469 
         434   -7.6533133    -0.126973            0            0        7.469 
         436   -7.6530914    -0.134442            0            0        7.469 
         438    -7.652858    -0.141911            0            0        7.469 
         440   -7.6526152     -0.14938            0            0        7.469 
         442   -7.6523581    -0.156849            0            0        7.469 
         444   -7.6520923    -0.164318            0            0        7.469 
         446   -7.6518131    -0.171787            0            0        7.469 
         448   -7.6515207    -0.179256            0            0        7.469 
         450   -7.6512195    -0.186725            0            0        7.469 
         452     -7.65091    -0.194194            0            0        7.469 
         454   -7.6505934    -0.201663            0            0        7.469 
         456   -7.6502659    -0.209132            0            0        7.469 
         458   -7.6499309    -0.216601            0            0        7.469 
         460   -7.6496091     -0.22407            0            0        7.469 
         462   -7.6498791    -0.231539            0            0        7.469 
         464   -7.6495362    -0.239008            0            0        7.469 
         466   -7.6491796    -0.246477            0            0        7.469 
         468   -7.6488154    -0.253946            0            0        7.469 
         470   -7.6484357    -0.261415            0            0        7.469 
         472   -7.6480402    -0.268884            0            0        7.469 
         474    -7.647954    -0.276353            0            0        7.469 
         476   -7.6475673    -0.283822            0            0        7.469 
         478   -7.6471679    -0.291291            0            0        7.469 
         480    -7.646752     -0.29876            0            0        7.469 
         482   -7.6463233    -0.306229            0            0        7.469 
         484   -7.6458806    -0.313698            0            0        7.469 
         486   -7.6454271    -0.321167            0            0        7.469 
         488   -7.6449568    -0.328636            0            0        7.469 
         490   -7.6444773    -0.336105            0            0        7.469 
         492   -7.6439846    -0.343574            0            0        7.469 
         494   -7.6434759    -0.351043            0            0        7.469 
         496   -7.6429631    -0.358512            0            0        7.469 
         498   -7.6424323    -0.365981            0            0        7.469 
         500   -7.6418873     -0.37345            0            0        7.469 
         502   -7.6413285    -0.380919            0            0        7.469 
         504   -7.6407607    -0.388388            0            0        7.469 
         506   -7.6401793    -0.395857            0            0        7.469 
         508   -7.6395835    -0.403326            0            0        7.469 
         510   -7.6389758    -0.410795            0            0        7.469 
         512   -7.6383552    -0.418264            0            0        7.469 
         514   -7.6377204    -0.425733            0            0        7.469 
         516   -7.6370732    -0.433202            0            0        7.469 
         518   -7.6364143    -0.440671            0            0        7.469 
         520   -7.6357412     -0.44814            0            0        7.469 
         522   -7.6350573    -0.455609            0            0        7.469 
         524   -7.6343587    -0.463078            0            0        7.469 
         526   -7.6336495    -0.470547            0            0        7.469 
         528   -7.6329301    -0.478016            0            0        7.469 
         530   -7.6321943    -0.485485            0            0        7.469 
         532   -7.6314507    -0.492954            0            0        7.469 
         534   -7.6306918    -0.500423            0            0        7.469 
         536   -7.6299207    -0.507892            0            0        7.469 
         538   -7.6291379    -0.515361            0            0        7.469 
         540   -7.6283406     -0.52283            0            0        7.469 
         542   -7.6275329    -0.530299            0            0        7.469 
         544   -7.6267156    -0.537768            0            0        7.469 
         546   -7.6258936    -0.545237            0            0        7.469 
         548   -7.6259578    -0.552706            0            0        7.469 
         550   -7.6251985    -0.560175            0            0        7.469 
         552    -7.624427    -0.567644            0            0        7.469 
         554   -7.6236437    -0.575113            0            0        7.469 
         556   -7.6228488    -0.582582            0            0        7.469 
         558   -7.6220422    -0.590051            0            0        7.469 
         560   -7.6212285     -0.59752            0            0        7.469 
         562   -7.6204004    -0.604989            0            0        7.469 
         564   -7.6195612    -0.612458            0            0        7.469 
         566   -7.6187097    -0.619927            0            0        7.469 
         568   -7.6178477    -0.627396            0            0        7.469 
         570   -7.6169726    -0.634865            0            0        7.469 
         572   -7.6160863    -0.642334            0            0        7.469 
         574    -7.615186    -0.649803            0            0        7.469 
         576   -7.6142783    -0.657272            0            0        7.469 
         578   -7.6133598    -0.664741            0            0        7.469 
         580   -7.6124288     -0.67221            0            0        7.469 
         582   -7.6114862    -0.679679            0            0        7.469 
         584    -7.610531    -0.687148            0            0        7.469 
         586   -7.6095668    -0.694617            0            0        7.469 
         588   -7.6085888    -0.702086            0            0        7.469 
         590   -7.6076032    -0.709555            0            0        7.469 
         592   -7.6066081    -0.717024            0            0        7.469 
         594   -7.6056014    -0.724493            0            0        7.469 
         596   -7.6045882    -0.731962            0            0        7.469 
         598   -7.6035627    -0.739431            0            0        7.469 
         600   -7.6025294      -0.7469            0            0        7.469 
         602   -7.6035659    -0.739431            0            0        7.469 
         604   -7.6045903    -0.731962            0            0        7.469 
         606   -7.6056034    -0.724493            0            0        7.469 
         608   -7.6066093    -0.717024            0            0        7.469 
         610   -7.6076046    -0.709555            0            0        7.469 
         612   -7.6085919    -0.702086            0            0        7.469 
         614   -7.6095674    -0.694617            0            0        7.469 
         616   -7.6105328    -0.687148            0            0        7.469 
         618   -7.6114869    -0.679679            0            0        7.469 
         620   -7.6124289     -0.67221            0            0        7.469 
         622   -7.6133582    -0.664741            0            0        7.469 
         624   -7.6142806    -0.657272            0            0        7.469 
         626   -7.6151888    -0.649803            0            0        7.469 
         628   -7.6160856    -0.642334            0            0        7.469 
         630   -7.6169709    -0.634865            0            0        7.469 
         632   -7.6178451    -0.627396            0            0        7.469 
         634   -7.6187099    -0.619927            0            0        7.469 
         636   -7.6195621    -0.612458            0            0        7.469 
         638    -7.620399    -0.604989            0            0        7.469 
         640   -7.6212272     -0.59752            0            0        7.469 
         642   -7.6220451    -0.590051            0            0        7.469 
         644   -7.6228495    -0.582582            0            0        7.469 
         646   -7.6236436    -0.575113            0            0        7.469 
         648   -7.6244263    -0.567644            0            0        7.469 
         650   -7.6251968    -0.560175            0            0        7.469 
         652   -7.6259575    -0.552706            0            0        7.469 
         654   -7.6267032    -0.545237            0            0        7.469 
         656   -7.6274362    -0.537768            0            0        7.469 
         658   -7.6281571    -0.530299            0            0        7.469 
         660   -7.6288652     -0.52283            0            0        7.469 
         662   -7.6295591    -0.515361            0            0        7.469 
         664   -7.6302413    -0.507892            0            0        7.469 
         666   -7.6309135    -0.500423            0            0        7.469 
         668   -7.6315741    -0.492954            0            0        7.469 
         670   -7.6322222    -0.485485            0            0        7.469 
         672   -7.6328611    -0.478016            0            0        7.469 
         674   -7.6334894    -0.470547            0            0        7.469 
         676   -7.6341053    -0.463078            0            0        7.469 
         678   -7.6347147    -0.455609            0            0        7.469 
         680   -7.6357393     -0.44814            0            0        7.469 
         682   -7.6364127    -0.440671            0            0        7.469 
         684   -7.6370732    -0.433202            0            0        7.469 
         686   -7.6377206    -0.425733            0            0        7.469 
         688   -7.6383548    -0.418264            0            0        7.469 
         690   -7.6389758    -0.410795            0            0        7.469 
         692   -7.6395842    -0.403326            0            0        7.469 
         694   -7.6401806    -0.395857            0            0        7.469 
         696   -7.6407628    -0.388388            0            0        7.469 
         698   -7.6413327    -0.380919            0            0        7.469 
         700   -7.6418886     -0.37345            0            0        7.469 
         702   -7.6424328    -0.365981            0            0        7.469 
         704   -7.6429611    -0.358512            0            0        7.469 
         706   -7.6434773    -0.351043            0            0        7.469 
         708   -7.6439831    -0.343574            0            0        7.469 
         710    -7.644476    -0.336105            0            0        7.469 
         712   -7.6449574    -0.328636            0            0        7.469 
         714   -7.6454282    -0.321167            0            0        7.469 
         716   -7.6458821    -0.313698            0            0        7.469 
         718   -7.6463221    -0.306229            0            0        7.469 
         720   -7.6467511     -0.29876            0            0        7.469 
         722   -7.6471649    -0.291291            0            0        7.469 
         724   -7.6475652    -0.283822            0            0        7.469 
         726   -7.6479557    -0.276353            0            0        7.469 
         728    -7.648328    -0.268884            0            0        7.469 
         730   -7.6486869    -0.261415            0            0        7.469 
         732   -7.6490316    -0.253946            0            0        7.469 
         734   -7.6493669    -0.246477            0            0        7.469 
         736   -7.6496846    -0.239008            0            0        7.469 
         738   -7.6499897    -0.231539            0            0        7.469 
         740   -7.6502834     -0.22407            0            0        7.469 
         742   -7.6506985    -0.216601            0            0        7.469 
         744   -7.6509748    -0.209132            0            0        7.469 
         746   -7.6512362    -0.201663            0            0        7.469 
         748   -7.6514858    -0.194194            0            0        7.469 
         750   -7.6517201    -0.186725            0            0        7.469 
         752   -7.6519467    -0.179256            0            0        7.469 
         754   -7.6521677    -0.171787            0            0        7.469 
         756   -7.6523731    -0.164318            0            0        7.469 
         758   -7.6526761    -0.156849            0            0        7.469 
         760   -7.6528825     -0.14938            0            0        7.469 
         762   -7.6530816    -0.141911            0            0        7.469 
         764   -7.6532835    -0.134442            0            0        7.469 
         766   -7.6534666    -0.126973            0            0        7.469 
         768   -7.6536363    -0.119504            0            0        7.469 
         770   -7.6537946    -0.112035            0            0        7.469 
         772   -7.6539458    -0.104566            0            0        7.469 
         774   -7.6540829    -0.097097            0            0        7.469 
         776   -7.6542068    -0.089628            0            0        7.469 
         778   -7.6543218    -0.082159            0            0        7.469 
         780   -7.6544239     -0.07469            0            0        7.469 
         782    -7.654513    -0.067221            0            0        7.469 
         784   -7.6545917    -0.059752            0            0        7.469 
         786   -7.6546572    -0.052283            0            0        7.469 
         788   -7.6547099    -0.044814            0            0        7.469 
         790    -7.654753    -0.037345            0            0        7.469 
         792    -7.654784    -0.029876            0            0        7.469 
         794   -7.6548013    -0.022407            0            0        7.469 
         796   -7.6548097    -0.014938            0            0        7.469 
         798   -7.6548048    -0.007469            0            0        7.469 
         800   -7.6547876 -8.8817842e-16            0            0        7.469 
